,Player,Matches,Runs,Bat_ave,Wkts,Bowl_ave
495,Aftab Alam (AFG),12,2,1.0,11,29.45
496,Ashfaq Ahmed (UAE),12,238,19.83,2,17.0
497,PKD Chase (IRE),12,7,0.0,0,0.0
498,Chirag Suri (UAE),12,352,35.2,0,0.0
499,NS Dhaliwal (CAN),12,361,40.12,3,14.33
500,DAS Gunaratne (SL),12,225,25.0,5,40.8
501,Imrul Kayes (BAN),12,119,10.81,0,0.0
502,J Kila (PNG),12,60,30.0,3,33.0
503,JP Kotze (NAM),12,245,22.27,0,0.0
504,KS Leverock (BER),12,201,20.1,9,23.33
505,BR McDermott (AUS),12,98,14.0,0,0.0
506,SE Marsh (AUS),12,202,18.36,0,0.0
507,DJ Mitchell (NZ),12,103,12.87,5,17.8
508,Mohamed Arief (MAS),12,215,23.88,0,0.0
509,Mohammed Shami (IND),12,0,0.0,0,0.0
510,GBW Munaweera (QAT),12,26,0.0,0,0.0
511,Najeeb Tarakai (AFG),12,258,21.5,0,0.0
512,SH Obed (VAN),12,29,0.0,0,0.0
513,MA Ouma (KENYA),12,93,8.45,0,0.0
514,LN Rajbanshi (NEP),12,3,0.0,0,0.0
515,Ravinderpal Singh (CAN),12,266,33.25,0,0.0
516,K Santokie (WI),12,0,0.0,0,0.0
517,P Sarraf (NEP),12,104,11.55,2,37.5
518,JJ Smit (NAM),12,206,25.75,16,14.62
519,C Tommy (VAN),12,180,16.36,0,0.0
520,RJ Trott (BER),12,36,9.0,8,29.38
521,C Viljoen (NAM),12,68,17.0,20,11.8
522,JM Vince (ENG),12,340,28.33,0,0.0
523,CN Ackermann (NED),11,243,30.38,5,29.4
524,Ahmed Hassan (MDV),11,189,18.9,2,40.5
525,PS Airee (NEP),11,87,7.9,0,0.0
526,M Ansari (OMA),11,5,0.0,0,0.0
527,Anwar Rahman (MAS),11,5,1.66,13,11.61
528,MNM Aslam (KUW),11,134,26.8,15,14.2
529,Awais Ahmed (ESP),11,165,41.25,0,0.0
530,O Bascome (BER),11,147,13.36,0,0.0
531,OGL Bascome (BER),11,107,10.7,8,14.62
532,RW Chakabva (ZIM),11,158,15.8,0,0.0
533,K Christie (HKG),11,15,7.5,10,29.2
534,DAP Darrell (BER),11,80,8.88,0,0.0
535,XJ Doherty (AUS),11,18,18.0,10,30.0
536,N Dutta (CAN),11,15,15.0,11,23.0
537,LH Ferguson (NZ),11,1,0.0,0,0.0
538,DM Gondaria (KENYA),11,199,28.42,0,0.0
539,H Gori (CZK-R),11,337,30.62,11,19.81
540,BJ Haddin (AUS),11,67,11.16,0,0.0
541,Hamza Tahir (SCOT),11,0,0.0,0,0.0
542,Haris Rauf (PAK),11,0,0.0,0,0.0
543,Hassan Rasheed (MDV),11,142,14.2,0,0.0
544,D Heyliger (CAN),11,58,29.0,19,16.1
545,MEK Hussey (AUS),11,264,44.0,0,0.0
546,Iftikhar Ahmed (PAK),11,188,62.66,1,57.0
547,Imran Haider (UAE),11,4,0.0,0,0.0
548,Inam-ul-Haq (QAT),11,225,25.0,8,26.38
549,BA King (WI),11,153,15.3,0,0.0
550,EB Knowles (CZK-R),11,76,10.85,0,0.0
551,RAS Lakmal (SL),11,7,2.33,8,41.25
552,K Mendon (CZK-R),11,85,42.5,9,21.44
553,T Mishra (KENYA),11,160,14.54,3,11.0
554,Mohamed Mahfooz (MDV),11,42,8.4,8,32.75
555,C Munoz-Mills (ESP),11,76,19.0,0,0.0
556,Nasrulla Rana (HKG),11,15,0.0,0,0.0
557,Nazril Rahman (MAS),11,45,11.25,4,46.5
558,JL Ontong (SA),11,138,17.25,0,0.0
559,R Panchal (ESP),11,206,41.2,8,23.25
560,AR Patel (IND),11,68,17.0,9,29.44
561,RK Paudel (NEP),11,80,10.0,0,0.0
562,D Pretorius (SA),11,135,33.75,7,34.84
563,DMW Rawlins (BER),11,261,23.72,5,57.0
564,Saad Bin Zafar (CAN),11,43,14.33,17,16.77
565,B Shikongo (NAM),11,0,0.0,0,0.0
566,Shiraz Khan (KUW),11,47,7.83,6,35.0
567,Sidhant Singh (SGP),11,178,25.42,6,36.0
568,Sikander Zulfiqar (NED),11,68,9.71,3,26.33
569,JT Smuts (SA),11,166,15.09,1,138.0
570,AJ Turner (AUS),11,57,14.25,3,14.0
571,BV Vitori (ZIM),11,8,0.0,0,0.0
572,MA Wood (ENG),11,10,0.0,0,0.0
573,Yasir Ali (ESP),11,325,46.4,6,17.16
574,Ahmed Wardak (GER),10,27,13.5,14,14.0
575,DI Allan (KENYA),10,86,8.6,4,20.5
576,Amir Ali (OMA),10,97,19.4,1,67.0
577,Amir Mangal (GER),10,142,20.28,1,57.0
578,Arafat Sunny (BAN),10,34,11.33,12,19.16
579,Asad Mohammad (GER),10,12,0.0,0,0.0
580,LJ Barker (GUE),10,63,7.87,0,0.0
581,J Butler (GUE),10,238,34.0,0,0.0
582,C Carter (HKG),10,55,13.75,0,0.0
583,DDP D'Silva (UAE),10,130,32.5,0,0.0
584,K Dasan (BUL),10,237,29.62,4,13.0
585,AC Douglas (BER),10,138,17.25,5,6.0
586,LB Ferbrache (GUE),10,138,17.25,0,0.0
587,TS Fray (BER),10,73,8.11,0,0.0
588,Z Groenewald (NAM),10,20,6.66,8,20.38
589,PD Hennessy (ESP),10,214,30.56,9,9.55
590,Hilal Ahmad (CZK-R),10,50,6.25,0,0.0
591,Kuldeep Lal (ESP),10,80,20.0,4,33.75
592,LC Le Tissier (GUE),10,38,0.0,0,0.0
593,PK Matautaava (VAN),10,265,26.5,9,22.11
594,BJ McCarthy (IRE),10,29,7.25,11,33.62
595,P Mishra (BUL),10,86,10.75,13,16.0
596,Mohamed Azzam (MDV),10,81,11.57,0,0.0
597,Mohammad Hasnain (PAK),10,5,5.0,7,42.4
598,Mohammad Sami (PAK),10,16,0.0,0,0.0
599,Muhamad Syahadat (MAS),10,122,20.33,11,11.54
600,Naveed Ahmed (CZK-R),10,2,2.0,5,19.6
601,LN Oluoch (KENYA),10,26,8.66,10,20.9
602,K Pierre (WI),10,17,8.5,7,38.4
603,Qadeer Ahmed (UAE),10,7,7.0,9,28.11
604,Rahmanullah Gurbaz (AFG),10,332,33.2,0,0.0
605,CAK Rajitha (SL),10,8,0.0,0,0.0
606,Raza Hasan (PAK),10,18,0.0,0,0.0
607,NA Saini (IND),10,11,0.0,0,0.0
608,Shafiq Sharif (MAS),10,225,22.5,0,0.0
609,Sohag Gazi (BAN),10,57,14.25,4,74.75
610,Syazrul Idrus (MAS),10,10,5.0,17,15.17
611,GJ Thompson (IRE),10,107,15.28,0,0.0
612,JD Unadkat (IND),10,0,0.0,0,0.0
613,JDF Vandersay (SL),10,15,15.0,6,43.66
614,W Viraliliu (VAN),10,34,8.5,5,32.8
615,Abdul-Shakoor Rahimzei (GER),9,102,17.0,7,14.42
616,Aftab Hussain (HKG),9,6,0.0,0,0.0
617,Ariful Haque (BAN),9,59,14.75,1,13.0
618,Atif Mehmood (ESP),9,5,0.0,0,0.0
619,T Banton (ENG),9,205,22.77,0,0.0
620,TS Bharaj (DEN),9,52,6.5,0,0.0
621,Meet Bhavsar (KUW),9,104,17.33,0,0.0
622,Bilawal Bhatti (PAK),9,23,11.5,5,51.0
623,DE Bollinger (AUS),9,1,0.0,0,0.0
624,HL Carlyon (JER),9,156,19.5,3,14.0
625,VB Chikkannaiah (GER),9,199,24.88,0,0.0
626,MD Dai (PNG),9,105,13.12,4,39.25
627,CJ Dala (SA),9,19,19.0,13,21.69
628,H Davids (SA),9,161,17.88,1,13.0
629,Delawar Khan (DEN),9,47,6.71,7,18.42
630,GDR Eranga (CAN),9,1,0.0,0,0.0
631,Faran Afzal (ESP),9,141,20.14,8,17.88
632,SP Gauchan (NEP),9,13,4.33,8,21.12
633,OD Hald (DEN),9,61,8.71,9,12.55
634,JR Hazlewood (AUS),9,0,0.0,0,0.0
635,DR Hooper (GUE),9,76,15.2,9,23.44
636,Imran Nazir (PAK),9,176,19.55,0,0.0
637,KM Jadhav (IND),9,122,20.33,0,0.0
638,Junaid Khan (PAK),9,3,0.0,0,0.0
639,JH Kallis (SA),9,154,38.5,7,14.85
640,UT Khawaja (AUS),9,241,26.77,0,0.0
641,Khizar Hayat (MAS),9,104,17.33,13,18.77
642,ND Laegsgaard (DEN),9,105,15.0,9,11.66
643,T Maruma (ZIM),9,82,16.4,0,0.0
644,SF Mire (ZIM),9,253,31.62,1,115.0
645,A Mishra (IND),9,0,0.0,0,0.0
646,Mohammad Amin (KUW),9,93,23.25,1,18.0
647,JN Mohammed (WI),9,90,18.0,0,0.0
648,Muhammad Kaleem (UAE),9,97,10.77,0,0.0
649,B Muzarabani (ZIM),9,6,6.0,13,22.45
650,T Muzarabani (ZIM),9,0,0.0,0,0.0
651,W Nalisa (VAN),9,2,2.0,5,35.4
652,PM Nevill (AUS),9,25,25.0,0,0.0
653,Nurul Hasan (BAN),9,78,19.5,0,0.0
654,AA Onikoyi (NGA),9,119,14.87,0,0.0
655,CN Onwuzulike (NGA),9,122,15.25,0,0.0
656,JDP Oram (NZ),9,78,19.5,7,32.72
657,TD Paine (AUS/World),9,81,13.5,0,0.0
658,WA Peatfield (GUE),9,8,8.0,12,18.5
659,KP Pietersen (ENG),9,265,37.84,0,0.0
660,S Pokhriyal (CZK-R),9,200,25.0,1,23.0
661,JB Reva (PNG),9,16,0.0,0,0.0
662,JA Richardson (AUS),9,13,13.0,9,31.88
663,Sagar Pun (NEP),9,90,10.0,6,21.83
664,HAM Shah (DEN),9,172,21.5,5,17.2
665,Shamsur Rahman (BAN),9,86,10.75,0,0.0
666,V Shankar (IND),9,101,25.25,5,38.2
667,H Singh (GER),9,150,30.0,0,0.0
668,TB Sole (SCOT),9,69,17.25,6,22.83
669,AJ Staal (NED),9,97,16.16,0,0.0
670,MWR Stokes (GUE),9,127,18.14,0,0.0
671,RML Taylor (SCOT),9,85,28.33,5,39.2
672,S Vijayakumar (SGP),9,2,0.0,0,0.0
673,S Wickramasekara (CZK-R),9,294,42.0,6,36.0
674,Aaron Jones (USA),8,81,20.25,2,14.0
675,Abdul Wahid (KSA),8,43,10.75,9,18.0
676,Abdul Hashmi (DEN),8,70,17.5,0,0.0
677,KK Ahuja (Mex),8,28,0.0,0,0.0
678,CM Akachukwu (NGA),8,14,0.0,0,0.0
679,Ammad Uddin (BHR),8,176,29.33,0,0.0
680,Anasim Khan (BHR),8,51,10.2,0,0.0
681,R Ankad (Mex),8,68,17.0,5,35.6
682,Aritra Dutta (SGP),8,116,14.5,0,0.0
683,Asad Shafiq (PAK),8,178,22.25,0,0.0
684,Baljit Singh (ITA),8,4,0.0,0,0.0
685,T Bavuma (SA),8,249,35.56,0,0.0
686,S Bhari (NEP),8,1,0.5,7,25.14
687,CK Coventry (ZIM),8,79,11.28,0,0.0
688,SM Curran (ENG),8,43,10.75,9,26.66
689,TN de Grooth (NED),8,67,16.75,0,0.0
690,CD de Lange (SCOT),8,35,11.66,8,21.38
691,DC Delany (IRE),8,7,0.0,0,0.0
692,BFW de Leede (NED),8,98,16.33,0,0.0
693,JL Denly (ENG),8,105,21.0,6,14.0
694,GD Drummond (SCOT),8,0,0.0,0,0.0
695,FH Edwards (WI),8,7,7.0,6,31.5
696,Fiaz Ahmed (BHR),8,166,33.2,0,0.0
697,P Florin (ROM),8,19,6.33,6,11.33
698,G Goudie (SCOT),8,21,7.0,7,29.14
699,NA Greenwood (JER),8,154,19.25,1,14.0
700,L Gregory (ENG),8,35,7.0,1,92.0
701,TGJ Gruijters (NED),8,51,25.5,3,24.66
702,R Gunasekera (CAN),8,202,25.25,0,0.0
703,OJ Hairs (SCOT),8,105,15.0,0,0.0
704,AS Hansra (CAN),8,82,13.66,7,13.42
705,JW Hastings (AUS),8,31,10.33,7,32.72
706,R Hekure (PNG),8,6,2.0,1,37.0
707,Ibrahim Rizan (MDV),8,23,7.66,1,92.0
708,Imran Anwar (BHR),8,35,11.66,10,21.2
709,Imran Ali Butt (BHR),8,127,15.87,0,0.0
710,Irfan Ahmed (HKG),8,76,9.5,11,17.27
711,B Ivanov (BUL),8,45,22.5,0,0.0
712,H Ivanov (BUL),8,39,9.75,0,0.0
713,DF Jacobs (THA),8,101,12.62,4,6.5
714,MO Jones (BER),8,81,16.2,4,29.0
715,LM Jongwe (ZIM),8,60,8.57,7,30.14
716,HJ Jordaan (THA),8,166,23.7,0,0.0
717,Kaleemullah (OMA),8,24,8.0,3,56.66
718,SP Khakurel (NEP),8,112,14.0,0,0.0
719,Khalid Latif (PAK),8,207,34.5,0,0.0
720,B Lee (AUS),8,10,10.0,11,23.62
721,NA Maiolo (ITA),8,106,17.66,7,21.7
722,Manpreet Singh (ITA),8,83,13.83,0,0.0
723,GP Meade (ITA),8,57,11.4,0,0.0
724,J Mees (LUX),8,137,34.25,0,0.0
725,Misbah-ul-Haq (PAK),8,151,37.75,0,0.0
726,Mohammad Ashraful (BAN),8,185,23.12,0,0.0
727,J Mulder (IRE),8,6,3.0,12,16.0
728,GRD Munasinghe (ITA),8,5,1.66,9,21.22
729,Muslim Yar (GER),8,2,0.0,0,0.0
730,SN Netravalkar (USA),8,19,19.0,4,40.25
731,GH O'Brien (BER),8,18,0.0,0,0.0
732,IO Okpe (NGA),8,84,10.5,6,31.33
733,SA Okpe (NGA),8,25,5.0,6,15.66
734,AM Oyede (NGA),8,73,10.42,1,44.0
735,NMS Param (SGP),8,160,32.0,2,27.5
736,MD Patel (USA),8,85,12.14,0,0.0
737,D Paterson (SA),8,5,5.0,9,29.44
738,IK Pathan (IND),8,39,19.5,12,18.58
739,N Pathan (THA),8,149,21.28,3,26.33
740,BBJL Perera (ITA),8,208,34.66,0,0.0
741,Rakibul Hasan (ITA),8,14,4.66,8,18.38
742,SHA Rance (NZ),8,10,0.0,0,0.0
743,MJ Ross (ITA),8,56,14.0,7,17.14
744,Rumman Raees (PAK),8,0,0.0,0,0.0
745,HD Rutherford (NZ),8,151,21.56,0,0.0
746,Sahir Naqash (GER),8,78,15.6,4,16.75
747,JRMVB Sanjaya (SL),8,20,0.0,0,0.0
748,Sarfaraz Ali (BHR),8,253,31.62,4,33.75
749,R Satheesan (ROM),8,220,55.0,9,7.88
750,JNK Shannon (IRE),8,111,13.87,0,0.0
751,Sharafuddin Ashraf (AFG),8,28,9.33,5,40.2
752,MM Sharma (IND),8,3,0.0,0,0.0
753,Shoaib Ali (KSA),8,15,0.0,0,0.0
754,ACF Stokes (GUE),8,31,6.2,5,34.2
755,JTS Sumerauer (JER),8,34,6.8,7,22.14
756,Tarun Sharma (Mex),8,164,23.42,0,0.0
757,SR Taylor (USA),8,265,37.84,3,23.33
758,RA Thomas (CAN),8,73,10.42,0,0.0
759,Usman Ali (KSA),8,17,0.0,0,0.0
760,LV van Beek (NED),8,7,2.33,5,32.0
761,JNT Vare (PNG),8,68,9.71,0,0.0
762,Vichanath Singh (THA),8,7,2.33,4,38.0
763,V Vijh (LUX),8,185,30.83,6,30.83
764,TC Vine (ESP),8,6,0.0,0,0.0
765,T Whiteman (LUX),8,98,32.66,1,38.0
766,CR Woakes (ENG),8,91,30.33,7,36.12
767,AS Wright (GUE),8,72,10.28,0,0.0
768,SA Abbott (AUS),7,17,17.0,4,37.5
769,Abraash Khan (CAN),7,66,16.5,0,0.0
770,VD Adewoye (NGA),7,47,11.75,6,22.5
771,Aminul Islam (BAN),7,22,0.0,0,0.0
772,SE Aquilina (MLT),7,26,5.2,0,0.0
773,JC Archer (ENG),7,0,0.0,0,0.0
774,Arshad Hayat (CZK-R),7,2,0.0,0,0.0
775,Ashiqullah Said (Belg),7,7,3.5,11,13.18
776,MA Baig (MWI),7,5,0.0,0,0.0
777,Bakhtiar Tahiri (BUL),7,159,26.5,4,38.5
778,J Barker (LUX),7,89,14.83,0,0.0
779,JP Behrendorff (AUS),7,0,0.0,0,0.0
780,SJ Benn (WI),7,0,0.0,0,0.0
781,HK Bennett (NZ),7,1,0.0,0,0.0
782,Bilal Tahir (KUW),7,80,13.33,0,0.0
783,D Bishoo (WI),7,17,0.0,0,0.0
784,CJ Boyce (AUS),7,4,0.0,0,0.0
785,DR Briggs (ENG),7,0,0.0,0,0.0
786,J Bulele (MOZ),7,65,9.28,4,26.75
787,NM Carter (SCOT),7,4,0.0,0,0.0
788,MNR Cooray (MDV),7,170,34.0,8,21.75
789,BCJ Cutting (AUS/World),7,40,10.0,3,71.7
790,KC D'Souza (BUL),7,86,28.66,0,0.0
791,F Damiao Couana (MOZ),7,233,38.84,6,19.66
792,G Dutta (Mex),7,14,0.0,0,0.0
793,Elias Sunny (BAN),7,9,0.0,0,0.0
794,M Faheem (THA),7,3,0.0,0,0.0
795,Faisal Khan (KSA),7,206,34.34,3,24.33
796,GF Gomes (MOZ),7,44,8.8,0,0.0
797,JOA Gordon (CAN),7,3,0.0,0,0.0
798,Haider Ali (PAK),7,176,29.33,0,0.0
799,Haroon Mughal (MLT),7,105,21.0,1,31.0
800,BJ Hodge (AUS),7,89,22.25,1,23.0
801,Z Hoque (THA),7,95,15.83,4,30.5
802,JJ Huo (MOZ),7,58,8.28,3,18.66
803,Ilyas Ahmed (KUW),7,2,2.0,11,16.72
804,Imran Ismail (MOZ),7,63,9.0,0,0.0
805,J Jojo (DEN),7,36,18.0,2,49.0
806,Kaleem Shah (MOZ),7,176,29.33,3,43.34
807,TE Kane (IRE),7,36,18.0,9,15.88
808,D Kansonkho (MWI),7,38,9.5,1,60.0
809,S Kaveri (Mex),7,114,22.8,6,11.66
810,Khurram Shahzad (QAT),7,17,4.25,0,0.0
811,Khushdil Shah (PAK),7,103,25.75,0,0.0
812,A Krishna (SGP),7,5,0.0,0,0.0
813,P Kumar (IND),7,1,0.0,0,0.0
814,CBRLS Kumara (SL),7,5,0.0,0,0.0
815,UKPW Kumaranayaka (KUW),7,0,0.0,0,0.0
816,I Liyanage (QAT),7,103,17.16,0,0.0
817,R McLaren (SA),7,1,0.0,0,0.0
818,Mamoon Latif (Belg),7,86,12.28,1,14.0
819,XM Marshall (USA),7,87,12.42,0,0.0
820,ZE Matsinhe (MOZ),7,10,3.33,7,14.42
821,M Mooketsi (BOT),7,8,0.0,0,0.0
822,M Mosehle (SA),7,105,21.0,0,0.0
823,K Motlhanka (BOT),7,115,16.42,0,0.0
824,Mudassar Muhammad (GER),7,112,16.0,0,0.0
825,Muhammad Naeem (KSA),7,125,31.25,0,0.0
826,D Muhumuza (UGA),7,114,19.0,6,14.16
827,Murid Ekrami (Belg),7,45,15.0,3,34.34
828,R Nehonde (BOT),7,61,10.16,0,0.0
829,OE Newey (GUE),7,55,11.0,0,0.0
830,JO Ngoche (KENYA),7,4,0.0,0,0.0
831,D Nikolov (BUL),7,22,7.33,3,24.33
832,A Otwani (UGA),7,141,20.14,0,0.0
833,HH Patel (MWI),7,137,27.4,2,52.0
834,H Patel (CAN),7,92,13.14,2,18.0
835,RB Patel (BUL),7,3,0.0,0,0.0
836,TK Patel (USA),7,17,0.0,0,0.0
837,RW Price (ZIM),7,10,5.0,2,107.0
838,PBB Rajapaksa (SL),7,140,28.0,0,0.0
839,Rehman Abdul (ITA),7,102,51.0,0,0.0
840,Saber Zakhil (Belg),7,160,26.66,6,27.33
841,Sajid Cheema (KSA),7,142,20.28,0,0.0
842,S Samarawickrama (SL),7,97,13.85,0,0.0
843,Sami Sohail (MWI),7,115,115.0,14,11.71
844,SV Samson (IND),7,83,11.85,0,0.0
845,Shaheryar Butt (Belg),7,294,73.5,0,0.0
846,Simandeep Singh (HKG),7,33,6.6,0,0.0
847,H Ssenyondo (UGA),7,0,0.0,0,0.0
848,P Taylor (CZK-R),7,11,11.0,8,18.0
849,J Umanath (Mex),7,69,11.5,0,0.0
850,C Waiswa (UGA),7,20,20.0,11,19.19
851,UT Yadav (IND),7,2,0.0,0,0.0
852,C Zavoiu (ROM),7,59,11.8,4,4.5
853,Zulfiqar Babar (PAK),7,27,0.0,0,0.0
854,Abdul Razzaq (PAK),6,47,11.75,2,17.5
855,Abdul Shakoor (UAE),6,35,17.5,0,0.0
856,S Adedeji (NGA),6,89,22.25,0,0.0
857,Adnan Idrees (KUW),6,259,43.16,1,67.0
858,A Ahmadhel (BUL),6,26,8.66,6,20.66
859,Ahsan Abbasi (HKG),6,80,13.33,0,0.0
860,D Ajekun (NGA),6,55,9.16,4,19.0
861,Anique Uddin (DEN),6,64,10.66,2,7.0
862,Z Arinaitwe (UGA),6,50,8.33,0,0.0
863,A Ashokan (CZK-R),6,92,15.33,2,56.5
864,HS Baidwan (CAN),6,48,9.6,8,20.75
865,B Banerjee (Mex),6,8,4.0,0,0.0
866,CD Barnwell (WI),6,78,19.5,1,51.0
867,TL Best (WI),6,17,0.0,0,0.0
868,DE Budge (SCOT),6,60,30.0,0,0.0
869,DP Conway (NZ),6,174,58.0,0,0.0
870,M Cope (LUX),6,23,11.5,10,17.5
871,FA Cossa (MOZ),6,82,20.5,2,55.0
872,S Davizi (CZK-R),6,237,39.5,7,6.14
873,LA Dawson (ENG),6,17,17.0,5,30.4
874,M de Lange (SA),6,0,0.0,0,0.0
875,IA De Silva (BUL),6,101,20.2,0,0.0
876,AB Dinda (IND),6,3,0.0,0,0.0
877,Fahad Tariq (UAE),6,19,4.75,0,0.0
878,Faizan Asif (UAE),6,80,13.33,0,0.0
879,Farhad Reza (BAN),6,22,0.0,0,0.0
880,BOP Fernando (SL),6,109,27.25,0,0.0
881,V Ganesan (GER),6,36,7.2,2,40.0
882,WT Gavera (PNG),6,3,0.0,0,0.0
883,D Gim (NGA),6,17,8.5,2,32.5
884,Jandu Hamoud (KUW),6,2,0.0,0,0.0
885,Harbhajan Singh (IND),6,24,24.0,9,13.0
886,MJ Henry (NZ),6,10,10.0,7,27.28
887,S Hirugade (Mex),6,74,12.33,6,15.33
888,AF Ifill (CAY),6,37,0.0,0,0.0
889,MM Iqbal (SCOT),6,46,15.33,2,29.5
890,S Jamil (Belg),6,53,8.83,0,0.0
891,MG Johnson (AUS),6,33,33.0,8,26.38
892,S Jora (NEP),6,101,20.2,0,0.0
893,G Kansonkho (MWI),6,26,13.0,0,0.0
894,P Kerai (KENYA),6,0,0.0,0,0.0
895,JS Kundi (KENYA),6,9,0.0,0,0.0
896,Kushal Malla (NEP),6,62,15.5,1,58.0
897,H Lakov (BUL),6,85,17.0,2,75.5
898,NCK Liyanage (MAS),6,8,0.0,0,0.0
899,T Lungameni (NAM),6,2,0.0,0,0.0
900,NJ Maddinson (AUS),6,45,11.25,0,0.0
901,RP Magar (NEP),6,52,8.66,0,0.0
902,S Mahmood (ENG),6,7,0.0,0,0.0
903,D Maisuria (BOT),6,6,6.0,11,11.0
904,JS Malhotra (USA),6,112,18.66,0,0.0
905,G Manan (ROM),6,98,19.6,0,0.0
906,P Manning (CAY),6,56,11.2,2,26.5
907,Mohammad Ahsan (KUW),6,19,0.0,0,0.0
908,Mohammad Naim (BAN),6,219,36.5,0,0.0
909,Mohammed Nurji (MWI),6,101,50.5,0,0.0
910,Mominul Haque (BAN),6,60,20.0,0,0.0
911,A Morris (CAY),6,5,2.5,6,19.0
912,RG Mukasa (UGA),6,63,10.5,0,0.0
913,Mukhtar Ahmed (PAK),6,192,32.0,0,0.0
914,TK Musakanda (ZIM),6,98,16.33,0,0.0
915,F Nsubuga (UGA),6,19,0.0,0,0.0
916,SNJ O'Keefe (AUS),6,27,6.75,3,40.0
917,AK Perera (SL),6,59,11.8,0,0.0
918,T Perera (BOT),6,101,16.83,0,0.0
919,S Periyalwar (ROM),6,154,51.34,0,0.0
920,R Pillai (GER),6,28,7.0,0,0.0
921,S Rakshit (CZK-R),6,40,10.0,2,49.5
922,AT Rayudu (IND),6,42,10.5,0,0.0
923,WJR Robertson (JER),6,1,0.0,0,0.0
924,SI Runsewe (NGA),6,74,14.8,2,11.5
925,SE Rutherford (WI),6,43,10.75,1,49.0
926,Saqib Zulfiqar (NED),6,34,8.5,2,30.5
927,Saqlain Haider (UAE),6,14,0.0,0,0.0
928,YSD Seneveratne (CAY),6,48,8.0,0,0.0
929,L Shafeeg (MDV),6,19,9.5,6,23.5
930,Shamsudheen Purat (KSA),6,118,29.5,0,0.0
931,L Sipamla (SA),6,0,0.0,0,0.0
932,DC Stovell (BER),6,42,8.4,4,31.5
933,GM Strydom (CAY),6,97,16.16,0,0.0
934,Sulaiman Ali (BUL),6,85,14.16,5,22.6
935,ES Szwarczynski (NED),6,48,12.0,0,0.0
936,Tauqeer Hussain (ESP),6,6,6.0,6,14.33
937,T Taylor (CAY),6,71,17.75,2,37.0
938,VE Tembo (MOZ),6,45,15.0,0,0.0
939,BM Tickner (NZ),6,5,0.0,0,0.0
940,RJW Topley (ENG),6,1,0.0,0,0.0
941,Usama Master (MWI),6,15,7.5,5,21.2
942,Usman Waheed (KUW),6,64,21.33,0,0.0
943,MN van Wyk (SA),6,224,44.8,0,0.0
944,S Vashisht (ROM),6,13,13.0,6,14.33
945,DL Vettori (NZ),6,18,9.0,3,56.0
946,R Vinay Kumar (IND),6,2,0.0,0,0.0
947,D Weston (GER),6,47,7.83,0,0.0
948,BM Wheeler (NZ),6,37,18.5,7,30.84
949,AR White (IRE),6,6,0.0,0,0.0
950,C Wright (CAY),6,26,8.66,2,26.5
951,HN Ya France (NAM),6,18,6.0,2,41.0
952,Yasir Arafat (PAK),6,28,7.0,10,12.1
953,Zishan Shah (DEN),6,88,22.0,0,0.0
954,M Abdulla (MWI),5,112,37.34,6,12.66
955,Abdullah Akbarjan (Aut),5,29,29.0,6,12.0
956,AS Abioye (NGA),5,0,0.0,0,0.0
957,Abul Hasan (BAN),5,14,0.0,0,0.0
958,AG Achar (SGP),5,2,0.0,0,0.0
959,SA Ahmad (DEN),5,46,23.0,4,10.0
960,Aizaz Cheema (PAK),5,0,0.0,0,0.0
961,TP Allen (USA),5,27,13.5,1,28.0
962,Amjad Ali (UAE),5,42,10.5,0,0.0
963,Amjad Sher (FIN),5,56,11.2,5,17.6
964,Aphsal Ashraf (KUW),5,53,26.5,2,20.5
965,Aqib Iqbal (Aut),5,6,0.0,0,0.0
966,V Aravind (UAE),5,19,9.5,0,0.0
967,P Arrighi (Arg),5,16,4.0,10,8.4
968,U Aryaman Sunil (SGP),5,37,9.25,4,21.75
969,Awais Zia (PAK),5,70,14.0,0,0.0
970,L Balaji (IND),5,0,0.0,0,0.0
971,P Baron (Arg),5,43,14.33,0,0.0
972,P Bhart (NOR),5,3,3.0,3,22.66
973,Bilal Zalmai (Aut),5,208,69.3,9,7.33
974,DL Brangman (BER),5,23,11.5,1,84.0
975,G Chaturvedi (MLT),5,101,25.25,0,0.0
976,NG Collins (FIN),5,151,30.2,0,0.0
977,H Dandapani (FIN),5,8,0.0,0,0.0
978,M Dixit (LUX),5,56,18.66,2,59.5
979,BR Dunk (AUS),5,99,19.8,0,0.0
980,KR Ebanks (CAY),5,15,0.0,0,0.0
981,Ehsan Nawaz (HKG),5,0,0.0,0,0.0
982,AM Ellis (NZ),5,25,8.33,2,52.5
983,L Emilio (MOZ),5,44,11.0,0,0.0
984,R Escobar (Arg),5,68,22.66,0,0.0
985,H Fennell (Arg),5,27,9.0,8,7.12
986,A Ferguson (Arg),5,88,44.0,0,0.0
987,R Gaznavi (SGP),5,12,0.0,0,0.0
988,AM Guruge (UAE),5,3,3.0,5,25.0
989,Hammad Azam (PAK),5,34,11.33,0,0.0
990,C Hauptfleisch (CAY),5,69,13.8,0,0.0
991,L Hermida (Mex),5,35,11.66,8,11.75
992,H Hiri (PNG),5,9,0.0,0,0.0
993,A Husain (Arg),5,2,0.0,0,0.0
994,DP Hyatt (WI),5,64,16.0,0,0.0
995,Ibrarul Haq (KSA),5,69,17.25,7,16.56
996,Ijaz Hussain (ROM),5,80,26.66,5,22.8
